unit,time,y,w
26,32,1.0187687075964131,0
26,33,1.0727657178194594,0
26,34,1.0579207991904145,0
26,35,1.0876669673810344,0
26,36,1.1521186819942937,0
26,37,1.149466960030912,0
26,38,1.1594024286387263,0
26,39,1.1987782886146565,1
26,40,1.2306232961769563,1
26,41,1.2706590225628602,1
26,42,1.2940225927322988,1
26,43,1.3149132119697953,1
26,44,1.3270146080763219,1
26,45,1.3565163574183057,1
26,46,1.3843188097272918,1
26,47,1.409075714332353,1
26,48,1.4330404030761592,1
27,1,0.764928909300794,0
27,2,0.7990178085986948,0
27,3,0.8308645732038755,0
27,4,0.8461217367540641,0
27,5,0.8896003615085508,0
27,6,0.9306882494513324,0
27,7,0.9442300031688902,0
27,8,0.9386533618853861,0
27,9,0.9779345836355144,0
27,10,1.033154606360469,0
27,11,1.06903382542707,0
27,12,1.0927425550035785,0
27,13,1.1269973930278017,0
27,14,1.1659613390386365,0
27,15,1.1736318491083733,0
27,16,1.1668370012646765,0
27,17,1.2083194203968812,0
27,18,1.237059626196352,0
27,19,1.2632463929848097,0
27,20,1.2989620652344733,0
27,21,1.312410669165084,0
27,22,1.318740159770325,0
27,23,1.317363490697458,0
27,24,1.332187640065948,0
27,25,1.3565789336574614,0
27,26,1.375831716029575,0
27,27,1.393590923167638,0
27,28,1.4029841747776572,0
27,29,1.4304308507379808,0
27,30,1.4587665460430426,0
27,31,1.4976299490968312,0
27,32,1.5348794291669048,0
27,33,1.545851985292952,0
27,34,1.5327795378796019,0
27,35,1.5489492145003751,0
27,36,1.5602506028713066,0
27,37,1.5651909812588087,0
27,38,1.579872891094002,0
27,39,1.5964005175636018,0
27,40,1.6131657692554011,0
27,41,1.6377035663137445,0
27,42,1.6513758049361176,0
27,43,1.650590353274847,0
27,44,1.6438157808938723,0
27,45,1.6533179568774958,0
27,46,1.659711454059968,0
27,47,1.6916846624451107,0
27,48,1.7207527939803882,0
28,1,0.8929765862891355,0
28,2,0.9410749389890913,0
28,3,0.9845080439591776,0
28,4,0.9878994719327725,0
28,5,1.0498588174221055,0
28,6,1.0766387432045654,0
28,7,1.0989691895150706,0
28,8,1.138704951940161,0
28,9,1.1796330483550665,0
28,10,1.228326993500227,0
28,11,1.2347982742318973,0
28,12,1.2545510913400229,0
28,13,1.2821580245535777,0
28,14,1.3114682154010655,0
28,15,1.2979046406596257,0
28,16,1.28198395620643,0
28,17,1.3274120408679444,0
28,18,1.3404162309348227,0
28,19,1.3568852027055076,0
28,20,1.3873922028687549,0
28,21,1.3824497575558183,0
28,22,1.3765944144975855,0
28,23,1.4074103341640107,0
28,24,1.4296263048476412,0
28,25,1.4646109592557544,0
28,26,1.4979946946672449,0
28,27,1.5382774402328963,0
28,28,1.539985689834797,0
28,29,1.5390208228115512,0
28,30,1.5431390242339322,0
28,31,1.5537166894692138,0
28,32,1.563123043263131,0
28,33,1.5767245672867176,0
28,34,1.5737088280036566,0
28,35,1.6141559483478982,0
28,36,1.6358450376074494,0
28,37,1.6563778924883366,0
28,38,1.6797647041034303,0
28,39,1.6946428157786517,1
28,40,1.7157339634990016,1
28,41,1.743665349237233,1
28,42,1.747917032570724,1
28,43,1.749522957473964,1
28,44,1.750584696999697,1
28,45,1.7703100438338613,1
28,46,1.7868272239874283,1
28,47,1.8156705055698712,1
28,48,1.8193370692737645,1
29,1,-0.579793444798109,0
29,2,-0.6233212670157231,0
29,3,-0.5080220731145051,0
29,4,-0.48144057968767306,0
29,5,-0.45599269594062175,0
29,6,-0.579303653195252,0
29,7,-0.5157339436231538,0
29,8,-0.5218319505119684,0
29,9,-0.5474698201163539,0
29,10,-0.49322483408502205,0
29,11,-0.38109770213290783,0
29,12,-0.31774028277376853,0
29,13,-0.2575185964029334,0
29,14,-0.17790370669260014,0
29,15,-0.15090213998574686,0
29,16,-0.12985775747110484,0
29,17,-0.09611623076638853,0
29,18,-0.07584977854817421,0
29,19,-0.07822254508852122,0
29,20,-0.060797538709204346,0
29,21,-0.015718545637236403,0
29,22,0.00032788404976002994,0
29,23,-0.004427924125770311,0
29,24,0.015047626814401305,0
29,25,0.00720248408025892,0
29,26,-0.02890076772702077,0
29,27,-0.017424386547464366,0
29,28,0.04641938653489408,0
29,29,0.04729199822561991,0
29,30,0.06671086956458883,0
29,31,0.006792562710643324,0
29,32,-0.0032618258789050003,0
29,33,0.06470149022464255,0
29,34,0.10750101442530102,0
29,35,0.11115846106569016,0
29,36,0.14121661482345793,0
29,37,0.18480083497941546,0
29,38,0.23570962001195817,0
29,39,0.2792052276015573,0
29,40,0.32060433147667755,0
29,41,0.3537336699895217,0
29,42,0.355709818931051,0
29,43,0.3901356399892908,0
29,44,0.37516813972539964,0
29,45,0.37353892777013176,0
29,46,0.4358299966171515,0
29,47,0.509165928972056,0
29,48,0.5658456175069775,0
30,1,0.3252034346073147,0
30,2,0.2949928899427956,0
30,3,-0.09223959290413752,0
30,4,0.08201502726717091,0
30,5,0.1408020711483413,0
30,6,0.19175780899629835,0
30,7,0.10989169489115991,0
30,8,0.17522512889367192,0
30,9,0.23714916510324535,0
30,10,0.280999517609442,0
30,11,0.33580454391295245,0
30,12,0.22804086620326292,0
30,13,0.37419554287642764,0
30,14,0.3867470782674003,0
30,15,0.3946387612664273,0
30,16,0.4187361074954916,0
30,17,0.4454183960830802,0
30,18,0.49706979606802904,0
30,19,0.5542128994592659,0
30,20,0.5899855298257339,0
